#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
52.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 7.62e+114 3.83e+113 2.90e+228 23.5 1.70e+114 1.71e+03 482 3.82e+05 268 618
53.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 7.62e+114 3.83e+113 2.90e+228 23.5 1.70e+114 1.71e+03 482 3.82e+05 268 618
54.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 7.62e+114 3.83e+113 2.90e+228 23.5 1.70e+114 1.71e+03 482 3.82e+05 268 618
55.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 7.62e+114 3.83e+113 2.90e+228 23.5 1.70e+114 1.71e+03 482 3.82e+05 268 618
56.0 20 14.058849469723409 22.197651010480822 7.0 7.0 7.0 2.2 0.24 0.24 0.12 0.49 7.0 3.3 3.5 3.0 1.9 3.00 0.950 1.94 0.00 1.39 486 113 2.90e+04 4.20 170 7.62e+114 3.83e+113 2.90e+228 23.5 1.70e+114 1.71e+03 482 3.82e+05 268 618
57.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 1.71e+03 460 3.33e+05 305 577
58.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 1.71e+03 480 3.43e+05 305 586
59.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 1.71e+03 500 3.83e+05 305 619
60.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 2.13e+03 520 4.41e+05 305 664
61.0 23 13.566978651187647 23.930820769814584 8.0 8.0 8.0 2.5 0.25 0.28 0.11 0.53 7.0 3.6 3.3 4.0 1.8 3.00 0.957 1.95 0.00 1.40 486 139 3.01e+04 18.4 174 7.62e+114 3.33e+113 2.52e+228 0.0751 1.59e+114 2.17e+03 540 5.00e+05 305 707
